date,predicted_mean,lower SPI,upper SPI,actual_spi
1/1/2015,0.961053689,-0.16036629,2.082473669,1.0
2/1/2015,0.635345385,-0.486070918,1.756761688,0.6
3/1/2015,0.406409258,-0.715003387,1.527821903,0.4
4/1/2015,0.098219721,-1.023189285,1.219628727,0.1
5/1/2015,0.185231065,-0.93617432,1.30663645,0.2
6/1/2015,0.008137588,-1.113264195,1.12953937,0.0
7/1/2015,5.519660679,4.39826248,6.641058878,5.5
8/1/2015,5.708624839,4.587230207,6.830019472,5.7
9/1/2015,-0.074159819,-1.195550904,1.047231266,-0.1
10/1/2015,0.340713559,-0.780673996,1.462101113,0.3
11/1/2015,0.572277772,-0.54910627,1.693661814,0.6
12/1/2015,1.224019436,0.102638888,2.345399983,1.2
1/1/2016,0.930056172,-0.191320898,2.051433242,0.9
2/1/2016,0.872560663,-0.248812947,1.993934274,0.9
3/1/2016,0.329637372,-0.791732795,1.45100754,0.3
4/1/2016,0.306870386,-0.814496355,1.428237128,0.3
5/1/2016,-0.061487553,-1.182850886,1.059875779,-0.1
6/1/2016,0.03381212,-1.08754782,1.155172061,0.0
7/1/2016,5.131072621,4.009716055,6.252429186,5.1
8/1/2016,5.57523997,4.453886763,6.696593177,5.6
9/1/2016,0.326323419,-0.795026446,1.447673283,0.3
10/1/2016,-0.262554526,-1.383901065,0.858792013,-0.3
11/1/2016,0.683503288,-0.437839941,1.804846517,0.7
12/1/2016,1.314939741,0.193599805,2.436279676,1.3
1/1/2017,0.974616088,-0.146720569,2.095952746,1.0
2/1/2017,0.821524918,-0.299808478,1.942858314,0.8
3/1/2017,0.433657863,-0.687672287,1.554988013,0.4
4/1/2017,0.298770298,-0.822556622,1.420097217,0.3
5/1/2017,0.535021593,-0.586302112,1.656345297,0.5
6/1/2017,-0.151393809,-1.272714314,0.969926696,-0.2
7/1/2017,5.479936878,4.358619557,6.601254199,5.5
8/1/2017,5.66310252,4.541788368,6.784416672,5.7
9/1/2017,-0.128572082,-1.24988308,0.992738916,-0.1
10/1/2017,-0.075228064,-1.196535923,1.046079796,-0.1
11/1/2017,1.097730562,-0.023574173,2.219035297,1.1
12/1/2017,1.232840694,0.111539068,2.35414232,1.2
1/1/2018,0.956331658,-0.164966873,2.077630189,1.0
2/1/2018,0.553302049,-0.567993402,1.6745975,0.6
3/1/2018,0.520791503,-0.600500882,1.642083889,0.5
4/1/2018,0.305462168,-0.815827166,1.426751502,0.3
5/1/2018,0.636690616,-0.484595681,1.757976913,0.6
6/1/2018,-0.124705359,-1.245988633,0.996577916,-0.1
7/1/2018,5.665112154,4.543831888,6.786392419,5.7
8/1/2018,5.558890681,4.43761341,6.680167951,5.6
9/1/2018,-0.432301471,-1.553575761,0.688972818,-0.4
10/1/2018,0.454031034,-0.667240288,1.575302357,0.5
11/1/2018,0.796966088,-0.324302281,1.918234457,0.8
12/1/2018,1.218355638,0.097090209,2.339621066,1.2
1/1/2019,0.891451243,-0.22981126,2.012713745,0.9
2/1/2019,0.47153579,-0.649723799,1.59279538,0.5
3/1/2019,0.49033138,-0.63092531,1.611588069,0.5
4/1/2019,0.858457281,-0.262796521,1.979711084,0.9
5/1/2019,0.316605222,-0.804645708,1.437856151,0.3
6/1/2019,-0.451011895,-1.572259964,0.670236174,-0.5
7/1/2019,4.962781889,3.841536668,6.084027111,5.0
8/1/2019,5.041549316,3.920306929,6.162791703,5.0
9/1/2019,-0.187334563,-1.308574128,0.933905002,-0.2
10/1/2019,0.473485419,-0.647751337,1.594722174,0.5
11/1/2019,0.758357795,-0.362876164,1.879591754,0.8
12/1/2019,1.332928072,0.211696897,2.454159247,1.3
1/1/2020,0.892426049,-0.228802354,2.013654452,0.9
2/1/2020,0.713874613,-0.407351031,1.835100257,0.7
3/1/2020,0.748325541,-0.372897356,1.869548438,0.7
4/1/2020,0.86245946,-0.258760702,1.983679622,0.9
5/1/2020,-0.055359531,-1.17657697,1.065857908,-0.1
6/1/2020,-0.519711436,-1.640926165,0.601503292,-0.5
7/1/2020,5.051893599,3.930681569,6.173105629,5.1
8/1/2020,5.35846409,4.237254748,6.479673433,5.4
9/1/2020,0.138247229,-0.982959438,1.259453897,0.1
10/1/2020,0.280495904,-0.8407081,1.401699908,0.3
11/1/2020,1.131303165,0.010101813,2.252504517,1.1
12/1/2020,1.237294315,0.116095603,2.358493027,1.2
