Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Area,1436670,786980,789160,656380,762940,622400,658140,660070,705500,649053,762871,784920,763800,825055,778326,777021,761718,755868,1262516,762467
Yield,628160,594860,571600,475630,691260,517220,616810,649750,787060,618543,757824,705578,736669,769208,714690,748302,786268,737112,1092397,797267
